id_venda;id_produto;quantidade;data_venda;vendedor
1;7;6;01/01/2024;Bruno
2;4;1;02/01/2024;Bruno
3;8;9;03/01/2024;Elisa
4;5;6;04/01/2024;Daniel
5;7;3;05/01/2024;Bruno
6;10;4;06/01/2024;Daniel
7;3;4;07/01/2024;Bruno
8;7;3;08/01/2024;Bruno
9;8;3;09/01/2024;Carla
10;5;3;10/01/2024;Bruno
11;4;4;11/01/2024;Ana
12;8;7;12/01/2024;Elisa
13;8;4;13/01/2024;Elisa
14;3;9;14/01/2024;Daniel
15;6;1;15/01/2024;Bruno
16;5;8;16/01/2024;Ana
17;2;7;17/01/2024;Daniel
18;8;2;18/01/2024;Carla
19;6;8;19/01/2024;Daniel
20;2;1;20/01/2024;Daniel
21;5;9;21/01/2024;Bruno
22;1;9;22/01/2024;Carla
23;10;2;23/01/2024;Daniel
24;6;7;24/01/2024;Ana
25;9;3;25/01/2024;Ana
26;1;7;26/01/2024;Elisa
27;10;9;27/01/2024;Carla
28;3;4;28/01/2024;Carla
29;7;1;29/01/2024;Elisa
30;4;2;30/01/2024;Daniel
31;9;1;31/01/2024;Carla
32;3;5;01/02/2024;Ana
33;5;5;02/02/2024;Ana
34;3;7;03/02/2024;Bruno
35;7;9;04/02/2024;Carla
36;5;9;05/02/2024;Daniel
37;9;3;06/02/2024;Elisa
38;7;3;07/02/2024;Elisa
39;2;3;08/02/2024;Daniel
40;4;4;09/02/2024;Bruno
41;9;8;10/02/2024;Elisa
42;2;6;11/02/2024;Carla
43;10;8;12/02/2024;Bruno
44;9;1;13/02/2024;Carla
45;10;8;14/02/2024;Ana
46;5;4;15/02/2024;Bruno
47;2;1;16/02/2024;Elisa
48;4;8;17/02/2024;Bruno
49;7;4;18/02/2024;Bruno
50;8;6;19/02/2024;Bruno
51;3;8;20/02/2024;Bruno
52;1;4;21/02/2024;Carla
53;4;3;22/02/2024;Ana
54;2;9;23/02/2024;Daniel
55;8;3;24/02/2024;Bruno
56;4;9;25/02/2024;Elisa
57;2;2;26/02/2024;Bruno
58;6;2;27/02/2024;Elisa
59;6;2;28/02/2024;Carla
60;10;6;29/02/2024;Elisa
61;4;3;01/03/2024;Daniel
62;6;9;02/03/2024;Ana
63;2;4;03/03/2024;Elisa
64;10;1;04/03/2024;Elisa
65;2;4;05/03/2024;Ana
66;10;1;06/03/2024;Daniel
67;4;5;07/03/2024;Bruno
68;8;4;08/03/2024;Elisa
69;7;8;09/03/2024;Ana
70;9;8;10/03/2024;Carla
71;8;7;11/03/2024;Ana
72;5;3;12/03/2024;Carla
73;2;1;13/03/2024;Daniel
74;5;1;14/03/2024;Bruno
75;8;3;15/03/2024;Ana
76;10;6;16/03/2024;Elisa
77;9;7;17/03/2024;Daniel
78;9;6;18/03/2024;Ana
79;1;6;19/03/2024;Elisa
80;9;6;20/03/2024;Ana
81;7;3;21/03/2024;Carla
82;9;6;22/03/2024;Ana
83;8;8;23/03/2024;Ana
84;1;2;24/03/2024;Ana
85;8;5;25/03/2024;Daniel
86;8;1;26/03/2024;Ana
87;3;1;27/03/2024;Elisa
88;1;5;28/03/2024;Carla
89;8;3;29/03/2024;Carla
90;3;4;30/03/2024;Ana
91;3;3;31/03/2024;Daniel
92;1;1;01/04/2024;Daniel
93;5;1;02/04/2024;Elisa
94;10;5;03/04/2024;Ana
95;7;6;04/04/2024;Carla
96;10;3;05/04/2024;Daniel
97;9;9;06/04/2024;Ana
98;7;5;07/04/2024;Daniel
99;9;8;08/04/2024;Daniel
100;8;1;09/04/2024;Carla
101;2;5;10/04/2024;Bruno
102;1;3;11/04/2024;Elisa
103;7;1;12/04/2024;Elisa
104;7;4;13/04/2024;Carla
105;8;5;14/04/2024;Daniel
106;5;7;15/04/2024;Ana
107;3;1;16/04/2024;Daniel
108;8;3;17/04/2024;Carla
109;6;2;18/04/2024;Elisa
110;3;9;19/04/2024;Daniel
111;1;6;20/04/2024;Elisa
112;3;3;21/04/2024;Ana
113;5;8;22/04/2024;Elisa
114;3;8;23/04/2024;Elisa
115;1;2;24/04/2024;Bruno
116;5;6;25/04/2024;Bruno
117;10;7;26/04/2024;Bruno
118;7;2;27/04/2024;Elisa
119;7;2;28/04/2024;Carla
120;9;1;29/04/2024;Elisa
121;10;8;30/04/2024;Carla
122;10;1;01/05/2024;Carla
123;3;9;02/05/2024;Bruno
124;7;6;03/05/2024;Daniel
125;1;7;04/05/2024;Ana
126;4;7;05/05/2024;Bruno
127;4;3;06/05/2024;Bruno
128;5;2;07/05/2024;Daniel
129;7;9;08/05/2024;Ana
130;7;8;09/05/2024;Elisa
131;4;7;10/05/2024;Elisa
132;7;9;11/05/2024;Bruno
133;3;4;12/05/2024;Ana
134;6;4;13/05/2024;Bruno
135;2;1;14/05/2024;Carla
136;10;8;15/05/2024;Bruno
137;9;3;16/05/2024;Bruno
138;5;7;17/05/2024;Elisa
139;6;2;18/05/2024;Elisa
140;4;2;19/05/2024;Elisa
141;10;7;20/05/2024;Carla
142;7;6;21/05/2024;Elisa
143;9;3;22/05/2024;Ana
144;7;9;23/05/2024;Daniel
145;1;6;24/05/2024;Ana
146;1;6;25/05/2024;Ana
147;9;1;26/05/2024;Elisa
148;9;4;27/05/2024;Daniel
149;4;6;28/05/2024;Daniel
150;9;6;29/05/2024;Daniel
151;3;5;30/05/2024;Carla
152;7;1;31/05/2024;Elisa
153;6;8;01/06/2024;Daniel
154;8;5;02/06/2024;Carla
155;9;5;03/06/2024;Bruno
156;5;7;04/06/2024;Bruno
157;1;4;05/06/2024;Carla
158;3;6;06/06/2024;Carla
159;10;4;07/06/2024;Elisa
160;8;3;08/06/2024;Elisa
161;6;7;09/06/2024;Bruno
162;8;8;10/06/2024;Daniel
163;9;4;11/06/2024;Bruno
164;4;2;12/06/2024;Daniel
165;1;3;13/06/2024;Daniel
166;1;1;14/06/2024;Elisa
167;10;8;15/06/2024;Ana
168;4;3;16/06/2024;Ana
169;7;7;17/06/2024;Carla
170;2;5;18/06/2024;Elisa
171;3;5;19/06/2024;Daniel
172;1;7;20/06/2024;Ana
173;5;9;21/06/2024;Daniel
174;1;5;22/06/2024;Ana
175;8;1;23/06/2024;Ana
176;1;1;24/06/2024;Ana
