data;ano;mes;trimestre;produto;categoria;vendedor;regiao;quantidade;preco_unitario;valor_total
12/04/2024;2024;4;2;Jaqueta;Calçados;Carla;Norte;3;113;339
14/12/2024;2024;12;4;Calça Jeans;Calçados;Elisa;Leste;7;85;595
27/09/2024;2024;9;3;Camiseta;Vestuário;Bruno;Centro-Oeste;17;170;2890
16/04/2024;2024;4;2;Boné;Acessórios;Daniel;Centro-Oeste;12;78;936
12/03/2024;2024;3;1;Regata;Acessórios;Bruno;Norte;9;75;675
07/07/2024;2024;7;3;Calça Jeans;Acessórios;Elisa;Sul;15;142;2130
21/01/2024;2024;1;1;Tênis;Calçados;Ana;Oeste;18;165;2970
12/04/2024;2024;4;2;Camiseta;Calçados;Ana;Sul;13;72;936
01/05/2024;2024;5;2;Camiseta;Acessórios;Elisa;Sul;8;177;1416
02/08/2024;2024;8;3;Tênis;Acessórios;Ana;Norte;14;153;2142
26/11/2024;2024;11;4;Moletom;Acessórios;Ana;;8;126;1008
28/03/2024;2024;3;1;Tênis;Calçados;Ana;Norte;14;119;1666
09/04/2024;2024;4;2;Camiseta;Acessórios;Daniel;Norte;7;68;476
25/12/2024;2024;12;4;Camiseta;Acessórios;Daniel;Centro-Oeste;12;114;1368
31/05/2024;2024;5;2;Regata;Vestuário;Carla;Norte;11;91;1001
10/05/2024;2024;5;2;Cinto;Vestuário;Bruno;Centro-Oeste;11;135;1485
29/05/2024;2024;5;2;Calça Jeans;Calçados;Elisa;Centro-Oeste;13;136;1768
04/11/2024;2024;11;4;Tênis;Acessórios;Elisa;Norte;18;83;1494
14/09/2024;2024;9;3;Calça Jeans;Acessórios;Elisa;Leste;2;155;310
09/12/2024;2024;12;4;Tênis;Vestuário;Carla;Oeste;15;38;570
20/10/2024;2024;10;4;Jaqueta;Calçados;Daniel;Sul;18;117;2106
10/07/2024;2024;7;3;Camiseta;Vestuário;Carla;Centro-Oeste;15;66;990
03/10/2024;2024;10;4;Cinto;Vestuário;Elisa;Oeste;19;78;1482
09/06/2024;2024;6;2;Regata;Vestuário;Bruno;Leste;12;70;840
09/11/2024;2024;11;4;Cinto;Vestuário;Ana;Sul;13;46;598
22/01/2024;2024;1;1;Cinto;;Daniel;Sul;11;117;1287
09/09/2024;2024;9;3;Cinto;Acessórios;Daniel;Centro-Oeste;5;50;250
23/08/2024;2024;8;3;Calça Jeans;Vestuário;Carla;Norte;1;80;80
10/12/2024;2024;12;4;Tênis;Calçados;Daniel;Leste;3;88;264
18/02/2024;2024;2;1;Meia;Calçados;Elisa;Centro-Oeste;19;196;3724
28/02/2024;2024;2;1;Jaqueta;Calçados;Elisa;Leste;7;70;490
18/06/2024;2024;6;2;Boné;Calçados;Carla;Norte;12;68;816
06/07/2024;2024;7;3;Cinto;Vestuário;Elisa;Norte;15;170;2550
27/09/2024;2024;9;3;Moletom;Acessórios;Bruno;Centro-Oeste;5;40;200
08/07/2024;2024;7;3;Calça Jeans;Calçados;Carla;Norte;15;176;2640
23/06/2024;2024;6;2;Regata;Vestuário;Bruno;Oeste;8;168;1344
20/02/2024;2024;2;1;Boné;Calçados;Ana;Sul;10;106;1060
29/12/2024;2024;12;4;Meia;Calçados;Bruno;Centro-Oeste;16;156;2496
24/02/2024;2024;2;1;Moletom;Vestuário;Ana;Leste;8;75;600
31/08/2024;2024;8;3;Meia;Acessórios;Ana;Oeste;1;74;74
15/11/2024;2024;11;4;Boné;Acessórios;Bruno;Centro-Oeste;12;30;360
10/05/2024;2024;5;2;Cinto;Vestuário;Carla;Norte;5;197;985
02/11/2024;2024;11;4;Moletom;Acessórios;Elisa;Norte;3;137;411
14/05/2024;2024;5;2;Meia;Vestuário;Elisa;Norte;1;48;48
21/01/2024;2024;1;1;Regata;Vestuário;Ana;Norte;4;105;420
24/11/2024;2024;11;4;Tênis;Vestuário;Ana;Leste;8;101;808
15/06/2024;2024;6;2;Camiseta;Acessórios;Carla;Oeste;3;138;414
30/09/2024;2024;9;3;Tênis;Vestuário;Daniel;Sul;10;41;410
29/03/2024;2024;3;1;Boné;Calçados;Bruno;Leste;2;190;380
11/11/2024;2024;11;4;Calça Jeans;Acessórios;Ana;Leste;11;74;814
14/01/2024;2024;1;1;Camiseta;Acessórios;Elisa;Sul;10;119;-999
29/08/2024;2024;8;3;Jaqueta;Acessórios;Carla;Sul;14;132;1848
21/09/2024;2024;9;3;Regata;Acessórios;Bruno;Norte;7;37;259
11/12/2024;2024;12;4;Jaqueta;Calçados;Carla;Leste;2;182;364
22/02/2024;2024;2;1;Moletom;Acessórios;Bruno;Centro-Oeste;9;120;1080
05/12/2024;2024;12;4;Camiseta;Acessórios;Bruno;Sul;16;116;1856
01/04/2024;2024;4;2;Jaqueta;Vestuário;Ana;Sul;13;187;2431
20/09/2024;2024;9;3;Jaqueta;Acessórios;Carla;Oeste;9;113;1017
04/02/2024;2024;2;1;Meia;Calçados;Carla;Centro-Oeste;4;111;444
24/07/2024;2024;7;3;Tênis;Calçados;Elisa;Centro-Oeste;10;175;1750
