investimento_marketing;vendas
7949;9905
3433;1982
6311;11013
6051;8000
7420;8436
2184;1514
5555;6071
4385;6846
7396;12258
9666;16274
3558;7125
8849;14783
3047;4156
3747;4373
1189;7800
3734;7800
4005;5652
5658;7666
2899;6707
8734;11304
2267;5070
2528;4385
4556;4758
4890;7183
9838;16702
6393;11180
9792;17678
9433;14825
8513;19514
3612;3577
8041;11264
7235;10730
6486;6891
8099;14233
1775;4469
9226;13877
4152;5159
2585;887
4943;5835
8555;14319
4073;5685
2021;2177
4843;8267
8989;15799
7873;12323
6675;10641
1161;4485
5297;8296
1995;2373
8629;14289
