data;produto;categoria;vendas;quantidade;vendedor;regiao;valor_total
01/01/2024;Boné;Calçados;1793;12;Bruno;Leste;21516
02/01/2024;Moletom;Calçados;1782;13;Daniel;Norte;23166
03/01/2024;Tênis;Calçados;4852;13;Ana;Centro-Oeste;63076
04/01/2024;Moletom;Acessórios;219;15;Ana;Centro-Oeste;3285
05/01/2024;Moletom;Acessórios;930;16;Elisa;Sul;14880
06/01/2024;Calça;Vestuário;3775;11;Daniel;Oeste;41525
07/01/2024;Tênis;Vestuário;1469;5;Ana;Norte;7345
08/01/2024;Tênis;Acessórios;840;4;Daniel;Norte;3360
09/01/2024;Tênis;Calçados;216;3;Bruno;Leste;648
10/01/2024;Moletom;Vestuário;2938;19;Carla;Centro-Oeste;55822
11/01/2024;Boné;Acessórios;1250;18;Ana;Norte;22500
12/01/2024;Tênis;Acessórios;2031;15;Elisa;Centro-Oeste;30465
13/01/2024;Moletom;Acessórios;1112;9;Bruno;Norte;10008
14/01/2024;Calça;Calçados;1764;17;Daniel;Sul;29988
15/01/2024;Boné;Acessórios;1181;14;Bruno;Oeste;16534
16/01/2024;Calça;Acessórios;4829;15;Ana;Norte;72435
17/01/2024;Boné;Acessórios;612;1;Daniel;Centro-Oeste;612
18/01/2024;Moletom;Acessórios;2949;3;Carla;Sul;8847
19/01/2024;Camiseta;Vestuário;659;16;Bruno;Norte;10544
20/01/2024;Boné;Vestuário;3772;11;Ana;Leste;41492
21/01/2024;Calça;Acessórios;4683;12;Elisa;Oeste;56196
22/01/2024;Moletom;Calçados;3443;10;Daniel;Norte;34430
23/01/2024;Boné;Vestuário;4170;16;Bruno;Sul;66720
24/01/2024;Camiseta;Acessórios;4899;8;Bruno;Leste;39192
25/01/2024;Camiseta;Vestuário;1570;6;Carla;Sul;9420
26/01/2024;Tênis;Vestuário;680;12;Carla;Sul;8160
27/01/2024;Tênis;Calçados;2394;8;Elisa;Leste;19152
28/01/2024;Calça;Acessórios;3247;4;Elisa;Sul;12988
29/01/2024;Boné;Acessórios;4349;8;Ana;Leste;34792
30/01/2024;Boné;Calçados;1779;18;Ana;Norte;32022
31/01/2024;Tênis;Calçados;3606;5;Elisa;Leste;18030
01/02/2024;Boné;Acessórios;2844;9;Elisa;Leste;25596
02/02/2024;Boné;Acessórios;3456;4;Daniel;Oeste;13824
03/02/2024;Camiseta;Calçados;4145;17;Carla;Leste;70465
04/02/2024;Tênis;Vestuário;1343;9;Ana;Leste;12087
05/02/2024;Moletom;Vestuário;3218;1;Carla;Norte;3218
06/02/2024;Tênis;Calçados;2241;13;Carla;Oeste;29133
07/02/2024;Moletom;Vestuário;3159;16;Elisa;Centro-Oeste;50544
08/02/2024;Camiseta;Calçados;4648;13;Daniel;Norte;60424
09/02/2024;Calça;Vestuário;3059;14;Bruno;Norte;42826
10/02/2024;Boné;Vestuário;2365;3;Daniel;Centro-Oeste;7095
11/02/2024;Camiseta;Acessórios;2579;6;Daniel;Leste;15474
12/02/2024;Boné;Acessórios;4746;18;Carla;Sul;85428
13/02/2024;Calça;Vestuário;1735;19;Daniel;Oeste;32965
14/02/2024;Calça;Vestuário;1857;5;Ana;Sul;9285
15/02/2024;Camiseta;Acessórios;4552;15;Carla;Centro-Oeste;68280
16/02/2024;Calça;Acessórios;2170;2;Ana;Norte;4340
17/02/2024;Moletom;Acessórios;2949;10;Bruno;Norte;29490
18/02/2024;Calça;Calçados;3351;18;Carla;Oeste;60318
19/02/2024;Boné;Vestuário;3830;13;Bruno;Norte;49790
20/02/2024;Boné;Acessórios;2589;5;Carla;Norte;12945
21/02/2024;Boné;Vestuário;1731;1;Elisa;Oeste;1731
22/02/2024;Boné;Calçados;2916;1;Daniel;Oeste;2916
23/02/2024;Moletom;Calçados;1115;18;Elisa;Centro-Oeste;20070
24/02/2024;Tênis;Acessórios;1448;15;Bruno;Norte;21720
25/02/2024;Camiseta;Calçados;4711;17;Daniel;Norte;80087
26/02/2024;Boné;Vestuário;3187;11;Carla;Centro-Oeste;35057
27/02/2024;Calça;Acessórios;2939;17;Daniel;Leste;49963
28/02/2024;Boné;Vestuário;435;13;Ana;Leste;5655
29/02/2024;Calça;Vestuário;4692;1;Daniel;Leste;4692
01/03/2024;Calça;Calçados;995;2;Ana;Centro-Oeste;1990
02/03/2024;Boné;Calçados;3646;9;Daniel;Norte;32814
