id;data;produto;categoria;vendas;quantidade;vendedor;regiao;valor_total
1;01/01/2024;Boné;Calçados;2660;16;Elisa;Centro-Oeste;42560
2;02/01/2024;Moletom;Vestuário;3491;18;Ana;Oeste;62838
3;03/01/2024;Tênis;Calçados;3065;6;Bruno;Sul;18390
4;04/01/2024;Moletom;Vestuário;3743;5;Elisa;Centro-Oeste;18715
5;05/01/2024;Moletom;Acessórios;3950;16;Bruno;Oeste;63200
6;06/01/2024;Calça;Acessórios;972;13;Daniel;Leste;12636
7;07/01/2024;Tênis;Vestuário;1352;5;Daniel;Centro-Oeste;6760
8;08/01/2024;Tênis;Vestuário;1414;13;Daniel;Oeste;18382
9;09/01/2024;Tênis;Vestuário;4920;17;Ana;Norte;83640
10;10/01/2024;Moletom;Acessórios;2998;18;Daniel;Norte;53964
11;11/01/2024;Boné;Vestuário;-999;8;Elisa;Sul;-7992
12;12/01/2024;Tênis;Acessórios;2721;13;Bruno;Oeste;35373
13;13/01/2024;Moletom;Calçados;4327;19;Carla;Norte;82213
14;14/01/2024;Calça;Acessórios;700;3;Elisa;Leste;2100
15;15/01/2024;Boné;Acessórios;1165;8;Elisa;Oeste;9320
16;16/01/2024;Calça;Calçados;2236;2;Daniel;Leste;4472
17;17/01/2024;Boné;Acessórios;2549;8;Ana;Leste;20392
18;18/01/2024;Moletom;Vestuário;2443;13;Bruno;Norte;31759
19;19/01/2024;Camiseta;Vestuário;1963;13;Ana;Oeste;25519
20;20/01/2024;Boné;Acessórios;1418;1;Bruno;Centro-Oeste;1418
21;21/01/2024;Calça;Vestuário;4811;6;Bruno;Norte;28866
22;22/01/2024;Moletom;Acessórios;3697;19;Ana;Norte;70243
23;23/01/2024;Boné;Vestuário;3862;16;Elisa;Oeste;61792
24;24/01/2024;Camiseta;Vestuário;4770;8;Bruno;Oeste;38160
25;25/01/2024;Camiseta;Acessórios;2290;1;Ana;Leste;2290
26;26/01/2024;Tênis;Vestuário;1092;0;Bruno;Oeste;0
27;27/01/2024;Tênis;Acessórios;2812;9;Carla;Leste;25308
28;28/01/2024;Calça;Vestuário;2292;13;Elisa;Norte;29796
29;29/01/2024;Boné;Vestuário;1348;11;Daniel;Sul;14828
30;30/01/2024;Boné;Calçados;3154;13;Bruno;Centro-Oeste;41002
31;31/01/2024;;Calçados;4698;10;Carla;Norte;46980
32;01/02/2024;Boné;Acessórios;4133;4;Daniel;Oeste;16532
33;02/02/2024;Boné;Calçados;2097;6;Daniel;Centro-Oeste;12582
34;03/02/2024;Camiseta;Acessórios;3787;7;Bruno;Sul;26509
35;04/02/2024;Tênis;Calçados;2251;5;Ana;Sul;11255
36;05/02/2024;Moletom;Vestuário;4118;11;Bruno;Leste;45298
37;06/02/2024;Tênis;Acessórios;3210;13;Carla;Centro-Oeste;41730
38;07/02/2024;Moletom;Acessórios;2070;19;Daniel;Leste;39330
39;08/02/2024;Camiseta;Vestuário;297;10;Bruno;Norte;2970
40;09/02/2024;Calça;Acessórios;2726;10;Ana;Centro-Oeste;27260
41;10/02/2024;Boné;Acessórios;1302;11;Bruno;Norte;14322
42;11/02/2024;Camiseta;Calçados;2135;7;Elisa;Leste;14945
43;12/02/2024;Boné;Acessórios;577;18;Ana;Centro-Oeste;10386
44;13/02/2024;Calça;Vestuário;1354;4;Carla;Leste;5416
45;14/02/2024;Calça;Calçados;1022;2;Daniel;Centro-Oeste;2044
46;15/02/2024;Camiseta;;519;14;Bruno;Leste;7266
47;16/02/2024;Calça;Vestuário;2304;13;Ana;Sul;29952
48;17/02/2024;Moletom;Vestuário;2697;12;Elisa;Leste;32364
49;18/02/2024;Calça;Calçados;1220;7;Ana;Sul;8540
50;19/02/2024;Boné;Acessórios;3168;2;Elisa;Leste;6336
51;20/02/2024;Boné;Calçados;1050;13;Carla;Suld;13650
52;21/02/2024;Boné;Vestuário;2436;14;Daniel;Centro-Oeste;34104
53;22/02/2024;Boné;Calçados;2343;17;Carla;Centro-Oeste;39831
54;23/02/2024;Moletom;Vestuário;2745;9;Bruno;Oeste;24705
55;24/02/2024;Tênis;Calçados;1957;17;Ana;Norte;33269
56;25/02/2024;Camiseta;Acessórios;4712;8;   Ana   ;Centro-Oeste;37696
57;26/02/2024;Boné;Calçados;1965;2;Elisa;Sul;3930
58;27/02/2024;Calça;Calçados;3012;13;Ana;Centro-Oeste;39156
59;28/02/2024;Boné;Vestuário;2953;3;Ana;Oeste;8859
60;29/02/2024;Calça;Vestuário;3328;16;Bruno;Sul;53248
61;01/03/2024;CAMISETA;Vestuário;3819;6;Carla;Oeste;22914
62;02/03/2024;Boné;Calçados;3328;19;Elisa;Sul;63232
63;03/03/2024;Moletom;Acessórios;2471;7;Bruno;Leste;17297
64;04/03/2024;Calça;Vestuário;2991;10;Carla;Norte;29910
65;05/03/2024;Calça;Vestuário;3856;9;Bruno;Norte;34704
66;06/03/2024;Boné;Vest;4325;2;Elisa;Oeste;8650
67;07/03/2024;Calça;Vestuário;194;15;Ana;Norte;2910
68;08/03/2024;Calça;Acessórios;2774;5;Ana;Oeste;13870
69;09/03/2024;Boné;Acessórios;2055;4;Carla;Oeste;8220
70;10/03/2024;Boné;Vestuário;893;4;Daniel;Oeste;3572
71;11/03/2024;Camiseta;Vestuário;1934;18;Carla;Norte;34812
72;12/03/2024;Moletom;Calçados;2216;4;Daniel;Oeste;8864
73;13/03/2024;Moletom;Acessórios;4206;17;Bruno;Norte;71502
74;14/03/2024;Calça;Acessórios;3425;12;Bruno;Oeste;41100
75;15/03/2024;Moletom;Vestuário;3019;17;Elisa;Centro-Oeste;51323
76;16/03/2024;Calça;Calçados;2697;10;Daniel;Oeste;26970
77;17/03/2024;Camiseta;Acessórios;3305;1;Elisa;Sul;3305
78;18/03/2024;Boné;Acessórios;4907;18;Ana;Oeste;88326
79;19/03/2024;Boné;Calçados;914;18;Daniel;Leste;16452
80;20/03/2024;Boné;Calçados;445;14;Carla;Oeste;6230
81;21/03/2024;Moletom;Acessórios;2449;15;Ana;Sul;36735
82;22/03/2024;Camiseta;Acessórios;462;12;Ana;Sul;5544
83;23/03/2024;Moletom;Calçados;2543;4;Carla;Norte;10172
84;24/03/2024;Moletom;Acessórios;2365;3;Ana;Centro-Oeste;7095
85;25/03/2024;Camiseta;Vestuário;2288;12;Daniel;Oeste;27456
86;26/03/2024;Camiseta;Vestuário;3105;7;Elisa;Norte;21735
87;27/03/2024;Camiseta;Calçados;3381;11;Ana;Centro-Oeste;37191
88;28/03/2024;Camiseta;Calçados;1084;1;Daniel;Oeste;1084
89;29/03/2024;Boné;Calçados;1739;6;Bruno;Leste;10434
90;30/03/2024;Tênis;Vestuário;927;15;Daniel;Oeste;13905
