id_venda;id_produto;id_vendedor;id_cliente;data;quantidade;preco_unitario;valor_total
1;7;1;81;01/01/2024;4;49;196
2;4;4;22;02/01/2024;8;70;560
3;8;3;48;03/01/2024;17;177;3009
4;5;4;37;04/01/2024;9;137;1233
5;7;4;15;05/01/2024;1;176;176
6;10;4;35;06/01/2024;14;113;1582
7;3;4;92;07/01/2024;11;140;1540
8;7;5;71;08/01/2024;3;95;285
9;8;5;32;09/01/2024;9;187;1683
10;5;2;11;10/01/2024;14;82;1148
11;4;1;10;11/01/2024;9;63;567
12;8;4;73;12/01/2024;4;179;716
13;8;2;78;13/01/2024;4;96;384
14;3;1;77;14/01/2024;8;163;1304
15;6;3;57;15/01/2024;2;56;112
16;5;5;25;16/01/2024;9;39;351
17;2;1;2;17/01/2024;14;102;1428
18;8;3;64;18/01/2024;9;125;1125
19;6;1;35;19/01/2024;16;77;1232
20;2;5;7;20/01/2024;17;99;1683
21;5;5;85;21/01/2024;16;129;2064
22;1;2;18;22/01/2024;12;88;1056
23;10;4;67;23/01/2024;3;31;93
24;6;1;42;24/01/2024;11;186;2046
25;9;1;39;25/01/2024;14;94;1316
26;1;3;41;26/01/2024;18;112;2016
27;10;5;75;27/01/2024;5;183;915
28;3;1;24;28/01/2024;16;39;624
29;7;5;60;29/01/2024;5;82;410
30;4;1;46;30/01/2024;3;108;324
31;9;2;19;31/01/2024;12;88;1056
32;3;4;68;01/02/2024;1;179;179
33;5;1;90;02/02/2024;9;77;693
34;3;5;42;03/02/2024;9;178;1602
35;7;2;32;04/02/2024;4;152;608
36;5;1;39;05/02/2024;3;51;153
37;9;3;36;06/02/2024;17;129;2193
38;7;4;97;07/02/2024;2;127;254
39;2;1;36;08/02/2024;1;187;187
40;4;2;3;09/02/2024;8;54;432
41;9;3;73;10/02/2024;13;57;741
42;2;2;8;11/02/2024;15;142;2130
43;10;2;97;12/02/2024;8;74;592
44;9;3;70;13/02/2024;12;97;1164
45;10;2;41;14/02/2024;12;36;432
46;5;3;68;15/02/2024;14;78;1092
47;2;1;13;16/02/2024;15;166;2490
48;4;3;49;17/02/2024;15;193;2895
49;7;3;60;18/02/2024;9;112;1008
50;8;4;2;19/02/2024;19;158;3002
51;3;3;60;20/02/2024;8;167;1336
52;1;3;5;21/02/2024;19;193;3667
53;4;1;44;22/02/2024;6;102;612
54;2;4;27;23/02/2024;19;75;1425
55;8;5;32;24/02/2024;4;135;540
56;4;1;21;25/02/2024;7;189;1323
57;2;1;8;26/02/2024;4;61;244
58;6;5;72;27/02/2024;12;35;420
59;6;3;50;28/02/2024;13;195;2535
60;10;2;67;29/02/2024;3;174;522
61;4;4;44;01/03/2024;12;103;1236
62;6;2;58;02/03/2024;2;143;286
63;2;5;3;03/03/2024;2;56;112
64;10;1;86;04/03/2024;9;83;747
65;2;1;70;05/03/2024;1;192;192
66;10;4;2;06/03/2024;8;114;912
67;4;1;87;07/03/2024;6;156;936
68;8;1;44;08/03/2024;6;182;1092
69;7;4;2;09/03/2024;18;185;3330
70;9;4;81;10/03/2024;17;140;2380
71;8;5;35;11/03/2024;12;44;528
72;5;1;98;12/03/2024;6;161;966
73;2;1;87;13/03/2024;8;122;976
74;5;5;30;14/03/2024;19;152;2888
75;8;3;8;15/03/2024;10;102;1020
76;10;3;22;16/03/2024;1;184;184
77;9;3;44;17/03/2024;13;183;2379
78;9;5;58;18/03/2024;17;176;2992
79;1;1;36;19/03/2024;3;121;363
80;9;5;69;20/03/2024;8;46;368
81;7;5;77;21/03/2024;14;72;1008
82;9;3;93;22/03/2024;3;150;450
83;8;2;31;23/03/2024;16;70;1120
84;1;1;47;24/03/2024;13;199;2587
85;8;3;55;25/03/2024;17;197;3349
86;8;2;80;26/03/2024;13;68;884
87;3;2;62;27/03/2024;6;142;852
88;1;4;30;28/03/2024;17;180;3060
89;8;1;55;29/03/2024;14;140;1960
90;3;2;16;30/03/2024;17;76;1292
91;3;3;12;31/03/2024;8;92;736
92;1;4;17;01/04/2024;11;139;1529
93;5;1;16;02/04/2024;1;98;98
94;10;5;12;03/04/2024;7;72;504
95;7;3;8;04/04/2024;17;63;1071
96;10;2;84;05/04/2024;10;69;690
97;9;2;3;06/04/2024;11;90;990
98;7;3;16;07/04/2024;9;91;819
99;9;2;30;08/04/2024;9;87;783
100;8;4;23;09/04/2024;5;190;950
101;2;1;92;10/04/2024;17;104;1768
102;1;4;5;11/04/2024;9;45;405
103;7;2;84;12/04/2024;17;111;1887
104;7;5;65;13/04/2024;19;123;2337
105;8;1;30;14/04/2024;7;77;539
106;5;1;21;15/04/2024;9;167;1503
107;3;3;84;16/04/2024;7;111;777
108;8;3;70;17/04/2024;13;67;871
109;6;5;22;18/04/2024;11;156;1716
110;3;1;82;19/04/2024;14;48;672
111;1;5;72;20/04/2024;19;193;3667
112;3;3;32;21/04/2024;11;92;1012
113;5;3;33;22/04/2024;13;106;1378
114;3;1;16;23/04/2024;14;160;2240
115;1;4;76;24/04/2024;13;131;1703
116;5;2;38;25/04/2024;1;94;94
117;10;3;98;26/04/2024;8;149;1192
118;7;3;14;27/04/2024;12;120;1440
119;7;4;36;28/04/2024;19;37;703
120;9;4;97;29/04/2024;12;102;1224
121;10;5;23;30/04/2024;8;163;1304
122;10;5;66;01/05/2024;8;136;1088
123;3;2;85;02/05/2024;13;118;1534
124;7;2;2;03/05/2024;12;68;816
125;1;1;91;04/05/2024;16;142;2272
126;4;5;73;05/05/2024;1;57;57
127;4;3;65;06/05/2024;13;126;1638
128;5;5;75;07/05/2024;7;66;462
129;7;3;67;08/05/2024;5;166;830
130;7;4;52;09/05/2024;8;111;888
131;4;5;62;10/05/2024;14;85;1190
132;7;4;23;11/05/2024;13;114;1482
133;3;2;26;12/05/2024;15;31;465
134;6;2;68;13/05/2024;17;87;1479
135;2;1;82;14/05/2024;15;136;2040
136;10;5;55;15/05/2024;18;152;2736
137;9;4;6;16/05/2024;18;197;3546
138;5;3;35;17/05/2024;2;193;386
139;6;2;22;18/05/2024;4;143;572
140;4;2;43;19/05/2024;1;136;136
141;10;3;15;20/05/2024;4;66;264
142;7;4;86;21/05/2024;18;108;1944
143;9;4;60;22/05/2024;5;121;605
144;7;5;12;23/05/2024;19;47;893
145;1;5;49;24/05/2024;15;127;1905
146;1;1;42;25/05/2024;8;92;736
147;9;2;38;26/05/2024;17;179;3043
148;9;5;82;27/05/2024;1;168;168
149;4;4;45;28/05/2024;12;33;396
150;9;3;35;29/05/2024;19;164;3116
151;3;4;30;30/05/2024;15;90;1350
152;7;2;88;31/05/2024;9;136;1224
153;6;4;30;01/06/2024;7;83;581
