id_venda;id_produto;id_vendedor;data;quantidade;preco_unitario;valor_total;custo;lucro
1;7;2;01/01/2023;5;139;695;205;490
2;4;5;02/01/2023;15;149;2235;330;1905
3;8;1;03/01/2023;18;126;2268;666;1602
4;5;1;04/01/2023;2;174;348;156;192
5;7;3;05/01/2023;11;86;946;374;572
6;10;4;06/01/2023;13;159;2067;390;1677
7;3;3;07/01/2023;4;125;500;124;376
8;7;4;08/01/2023;7;150;1050;658;392
9;8;2;09/01/2023;11;91;1001;363;638
10;5;2;10/01/2023;4;166;664;88;576
11;4;5;11/01/2023;15;97;1455;780;675
12;8;4;12/01/2023;1;110;110;52;58
13;8;5;13/01/2023;3;46;138;201;-63
14;3;1;14/01/2023;14;146;2044;630;1414
15;6;4;15/01/2023;6;79;474;348;126
16;5;3;16/01/2023;18;141;2538;1332;1206
17;2;1;17/01/2023;1;123;123;90;33
18;8;1;18/01/2023;6;197;1182;186;996
19;6;3;19/01/2023;6;114;684;558;126
20;2;1;20/01/2023;16;178;2848;1392;1456
21;5;4;21/01/2023;5;175;875;265;610
22;1;5;22/01/2023;17;186;3162;952;2210
23;10;1;23/01/2023;10;181;1810;620;1190
24;6;4;24/01/2023;18;103;1854;468;1386
25;9;2;25/01/2023;7;138;966;224;742
26;1;4;26/01/2023;3;174;522;279;243
27;10;5;27/01/2023;13;47;611;260;351
28;3;4;28/01/2023;15;71;1065;855;210
29;7;3;29/01/2023;19;130;2470;931;1539
30;4;5;30/01/2023;3;74;222;204;18
31;9;2;31/01/2023;4;111;444;304;140
32;3;3;01/02/2023;5;46;230;415;-185
33;5;4;02/02/2023;1;102;102;96;6
34;3;5;03/02/2023;4;43;172;120;52
35;7;2;04/02/2023;12;186;2232;264;1968
36;5;3;05/02/2023;10;161;1610;450;1160
37;9;2;06/02/2023;13;111;1443;312;1131
38;7;4;07/02/2023;14;177;2478;980;1498
39;2;2;08/02/2023;5;149;745;450;295
40;4;1;09/02/2023;4;149;596;336;260
41;9;3;10/02/2023;14;76;1064;476;588
42;2;2;11/02/2023;10;136;1360;190;1170
43;10;4;12/02/2023;17;137;2329;629;1700
44;9;4;13/02/2023;10;38;380;230;150
45;10;2;14/02/2023;7;108;756;504;252
46;5;4;15/02/2023;16;184;2944;1168;1776
47;2;5;16/02/2023;1;44;44;94;-50
48;4;5;17/02/2023;17;48;816;1156;-340
49;7;5;18/02/2023;9;119;1071;540;531
50;8;1;19/02/2023;6;55;330;216;114
51;3;2;20/02/2023;19;183;3477;1482;1995
52;1;1;21/02/2023;13;183;2379;286;2093
53;4;4;22/02/2023;3;121;363;102;261
54;2;1;23/02/2023;7;111;777;455;322
55;8;4;24/02/2023;9;160;1440;828;612
56;4;4;25/02/2023;5;71;355;265;90
57;2;3;26/02/2023;10;48;480;510;-30
58;6;5;27/02/2023;17;46;782;1088;-306
59;6;4;28/02/2023;12;190;2280;576;1704
60;10;3;01/03/2023;16;105;1680;1424;256
61;4;5;02/03/2023;3;92;276;141;135
62;6;4;03/03/2023;9;160;1440;405;1035
63;2;4;04/03/2023;15;136;2040;1020;1020
64;10;1;05/03/2023;5;78;390;290;100
65;2;1;06/03/2023;13;84;1092;624;468
