Geração,ID,Nome,Forma,Estágio,Tipo 1,Tipo 2,HP,Ataque,Ataque Especial,Defesa,Defesa Especial,Velocidade,Pseudo/Mítico/ Lendário
1,1,Bulbasaur,,,Grama,Venenoso,25,3,4,3,4,5,
1,2,Ivysaur,,,Grama,Venenoso,30,4,4,4,4,6,
1,3,Venusaur,,,Grama,Venenoso,40,5,5,5,5,8,
6,3,Venusaur,Mega Venusaur,,Grama,Venenoso,40,5,7,7,6,8,
1,4,Charmander,,,Fogo,,20,3,3,3,3,7,
1,5,Charmeleon,,,Fogo,,30,4,4,3,4,8,
1,6,Charizard,,,Fogo,Voador,40,5,6,4,5,10,
6,6,Charizard,Mega Charizard X,,Fogo,Dragão,40,7,7,6,5,10,
6,6,Charizard,Mega Charizard Y,,Fogo,Voador,40,6,8,4,6,10,
1,7,Squirtle,,,Água,,25,3,3,4,4,5,
1,8,Wartortle,,,Água,,30,4,4,4,4,6,
1,9,Blastoise,,,Água,,40,5,5,5,6,8,
6,9,Blastoise,Mega Blastoise,,Água,,40,6,7,6,6,8,
1,10,Caterpie,,,Inseto,,25,2,1,2,1,5,
1,11,Metapod,,,Inseto,,25,1,2,3,2,3,
1,12,Butterfree,,,Inseto,Voador,30,3,5,3,4,7,
1,13,Weedle,,,Inseto,Venenoso,20,2,1,2,1,5,
1,14,Kakuna,,,Inseto,Venenoso,25,2,2,3,2,4,
1,15,Beedrill,,,Inseto,Venenoso,35,5,3,2,4,8,
6,15,Beedrill,Mega Beedrill,,Inseto,Venenoso,35,8,1,2,4,15,
1,16,Pidgey,,,Normal,Voador,20,3,2,2,2,6,
1,17,Pidgeotto,,,Normal,Voador,35,3,3,3,3,8,
1,18,Pidgeot,,,Normal,Voador,45,4,4,4,4,11,
6,18,Pidgeot,Mega Pidgeot,,Normal,Voador,45,4,7,4,4,13,
1,19,Rattata,,,Normal,,15,3,2,2,2,8,
7,19,Rattata,Alolan Rattata,,Sombrio,Normal,15,3,2,2,2,8,
1,20,Raticate,,,Normal,,30,5,3,3,4,10,
7,20,Raticate,Alolan Raticate,,Sombrio,Normal,40,4,2,4,4,8,
1,21,Spearow,,,Normal,Voador,20,3,2,2,2,7,
1,22,Fearow,,,Normal,Voador,35,5,4,4,4,10,
1,23,Ekans,,,Venenoso,,20,3,2,3,3,6,
1,24,Arbok,,,Venenoso,,30,5,4,4,4,8,
1,25,Pikachu,,,Elétrico,,20,3,3,2,3,9,
7,25,Pikachu,Partner Pikachu,,Elétrico,,25,4,4,3,3,12,
1,26,Raichu,,,Elétrico,,30,5,5,3,4,11,
7,26,Raichu,Alolan Raichu,,Elétrico,Psíquico,30,5,5,3,5,11,
1,27,Sandshrew,,,Terra,,25,4,1,5,2,4,
7,27,Sandshrew,Alolan Sandshrew,,Gelo,Aço,25,4,1,5,2,4,
1,28,Sandslash,,,Terra,,40,5,3,6,3,7,
7,28,Sandslash,Alolan Sandslash,,Gelo,Aço,40,5,2,6,4,7,
1,29,Nidoran,Female,,Venenoso,,30,3,2,3,2,5,
1,30,Nidorina,,,Venenoso,,35,4,3,4,3,6,
1,31,Nidoqueen,,,Venenoso,Terra,45,5,4,5,5,8,
1,32,Nidoran,Male,,Venenoso,,25,3,2,2,2,5,
1,33,Nidorino,,,Venenoso,,35,4,3,3,3,7,
1,34,Nidoking,,,Venenoso,Terra,45,6,5,4,4,9,
1,35,Clefairy,,,Fada,,35,3,3,3,4,4,
1,36,Clefable,,,Fada,,50,4,5,4,5,6,
