id,gen,name,form,type_1,type_2,hp,atk,def,sp_atk,sp_def,spd,bst,pml
1,1,Bulbasaur, ,Grass,Poison,45,49,49,65,65,45,318,
2,1,Ivysaur, ,Grass,Poison,60,62,63,80,80,60,405,
3,1,Venusaur, ,Grass,Poison,80,82,83,100,100,80,525,
3,6,Venusaur,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,625,
4,1,Charmander, ,Fire, ,39,52,43,60,50,65,309,
5,1,Charmeleon, ,Fire, ,58,64,58,80,65,80,405,
6,1,Charizard, ,Fire,Flying,78,84,78,109,85,100,534,
6,6,Charizard,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,634,
6,6,Charizard,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,634,
7,1,Squirtle, ,Water, ,44,48,65,50,64,43,314,
8,1,Wartortle, ,Water, ,59,63,80,65,80,58,405,
9,1,Blastoise, ,Water, ,79,83,100,85,105,78,530,
9,6,Blastoise,Mega Blastoise,Water, ,79,103,120,135,115,78,630,
10,1,Caterpie, ,Bug, ,45,30,35,20,20,45,195,
11,1,Metapod, ,Bug, ,50,20,55,25,25,30,205,
12,1,Butterfree, ,Bug,Flying,60,45,50,90,80,70,395,
13,1,Weedle, ,Bug,Poison,40,35,30,20,20,50,195,
14,1,Kakuna, ,Bug,Poison,45,25,50,25,25,35,205,
15,1,Beedrill, ,Bug,Poison,65,90,40,45,80,75,395,
15,6,Beedrill,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,495,
16,1,Pidgey, ,Normal,Flying,40,45,40,35,35,56,251,
17,1,Pidgeotto, ,Normal,Flying,63,60,55,50,50,71,349,
18,1,Pidgeot, ,Normal,Flying,83,80,75,70,70,101,479,
18,6,Pidgeot,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,579,
19,1,Rattata, ,Normal, ,30,56,35,25,35,72,253,
19,7,Rattata,Alolan Rattata,Dark,Normal,30,56,35,25,35,72,253,
20,1,Raticate, ,Normal, ,55,81,60,50,70,97,413,
20,7,Raticate,Alolan Raticate,Dark,Normal,75,71,70,40,80,77,413,
21,1,Spearow, ,Normal,Flying,40,60,30,31,31,70,262,
22,1,Fearow, ,Normal,Flying,65,90,65,61,61,100,442,
23,1,Ekans, ,Poison, ,35,60,44,40,54,55,288,
24,1,Arbok, ,Poison, ,60,95,69,65,79,80,448,
25,1,Pikachu, ,Electric, ,35,55,40,50,50,90,320,
25,7,Pikachu,Partner Pikachu,Electric, ,45,80,50,75,60,120,430,
26,1,Raichu, ,Electric, ,60,90,55,90,80,110,485,
26,7,Raichu,Alolan Raichu,Electric,Psychic,60,85,50,95,85,110,485,
27,1,Sandshrew, ,Ground, ,50,75,85,20,30,40,300,
27,7,Sandshrew,Alolan Sandshrew,Ice,Steel,50,75,90,10,35,40,300,
28,1,Sandslash, ,Ground, ,75,100,110,45,55,65,450,
28,7,Sandslash,Alolan Sandslash,Ice,Steel,75,100,120,25,65,65,450,
29,1,Nidoran,Female,Poison, ,55,47,52,40,40,41,275,
30,1,Nidorina, ,Poison, ,70,62,67,55,55,56,365,
31,1,Nidoqueen, ,Poison,Ground,90,92,87,75,85,76,505,
