gen,id,nome,forma,estagio,tipo_1,tipo_2,hp,atk,sp_atk,def,sp_def,vel,pml,bst,best_atk,best_atk_vel,atk_tot,def_tot
1,1,bulbasaur,-,-,grama,venenoso,25,3,4,3,4,5,-,44,4,9,7,7
1,2,ivysaur,-,-,grama,venenoso,30,4,4,4,4,6,-,52,4,10,8,8
1,3,venusaur,-,-,grama,venenoso,40,5,5,5,5,8,-,68,5,13,10,10
6,3,venusaur,mega venusaur,-,grama,venenoso,40,5,7,7,6,8,-,73,7,15,12,13
1,4,charmander,-,-,fogo,-,20,3,3,3,3,7,-,39,3,10,6,6
1,5,charmeleon,-,-,fogo,-,30,4,4,3,4,8,-,53,4,12,8,7
1,6,charizard,-,-,fogo,voador,40,5,6,4,5,10,-,70,6,16,11,9
6,6,charizard,mega charizard x,-,fogo,dragao,40,7,7,6,5,10,-,75,7,17,14,11
6,6,charizard,mega charizard y,-,fogo,voador,40,6,8,4,6,10,-,74,8,18,14,10
1,7,squirtle,-,-,agua,-,25,3,3,4,4,5,-,44,3,8,6,8
1,8,wartortle,-,-,agua,-,30,4,4,4,4,6,-,52,4,10,8,8
1,9,blastoise,-,-,agua,-,40,5,5,5,6,8,-,69,5,13,10,11
6,9,blastoise,mega blastoise,-,agua,-,40,6,7,6,6,8,-,73,7,15,13,12
1,10,caterpie,-,-,inseto,-,25,2,1,2,1,5,-,36,2,7,3,3
1,11,metapod,-,-,inseto,-,25,1,2,3,2,3,-,36,2,5,3,5
1,12,butterfree,-,-,inseto,voador,30,3,5,3,4,7,-,52,5,12,8,7
1,13,weedle,-,-,inseto,venenoso,20,2,1,2,1,5,-,31,2,7,3,3
1,14,kakuna,-,-,inseto,venenoso,25,2,2,3,2,4,-,38,2,6,4,5
1,15,beedrill,-,-,inseto,venenoso,35,5,3,2,4,8,-,57,5,13,8,6
6,15,beedrill,mega beedrill,-,inseto,venenoso,35,8,1,2,4,15,-,65,8,23,9,6
1,16,pidgey,-,-,normal,voador,20,3,2,2,2,6,-,35,3,9,5,4
1,17,pidgeotto,-,-,normal,voador,35,3,3,3,3,8,-,55,3,11,6,6
1,18,pidgeot,-,-,normal,voador,45,4,4,4,4,11,-,72,4,15,8,8
6,18,pidgeot,mega pidgeot,-,normal,voador,45,4,7,4,4,13,-,77,7,20,11,8
1,19,rattata,-,-,normal,-,15,3,2,2,2,8,-,32,3,11,5,4
7,19,rattata,alolan rattata,-,sombrio,normal,15,3,2,2,2,8,-,32,3,11,5,4
1,20,raticate,-,-,normal,-,30,5,3,3,4,10,-,55,5,15,8,7
7,20,raticate,alolan raticate,-,sombrio,normal,40,4,2,4,4,8,-,62,4,12,6,8
1,21,spearow,-,-,normal,voador,20,3,2,2,2,7,-,36,3,10,5,4
1,22,fearow,-,-,normal,voador,35,5,4,4,4,10,-,62,5,15,9,8
1,23,ekans,-,-,venenoso,-,20,3,2,3,3,6,-,37,3,9,5,6
1,24,arbok,-,-,venenoso,-,30,5,4,4,4,8,-,55,5,13,9,8
1,25,pikachu,-,-,eletrico,-,20,3,3,2,3,9,-,40,3,12,6,5
7,25,pikachu,partner pikachu,-,eletrico,-,25,4,4,3,3,12,-,51,4,16,8,6
1,26,raichu,-,-,eletrico,-,30,5,5,3,4,11,-,58,5,16,10,7
7,26,raichu,alolan raichu,-,eletrico,psiquico,30,5,5,3,5,11,-,59,5,16,10,8
1,27,sandshrew,-,-,terra,-,25,4,1,5,2,4,-,41,4,8,5,7
7,27,sandshrew,alolan sandshrew,-,gelo,aco,25,4,1,5,2,4,-,41,4,8,5,7
1,28,sandslash,-,-,terra,-,40,5,3,6,3,7,-,64,5,12,8,9
7,28,sandslash,alolan sandslash,-,gelo,aco,40,5,2,6,4,7,-,64,5,12,7,10
1,29,nidoran,female,-,venenoso,-,30,3,2,3,2,5,-,45,3,8,5,5
1,30,nidorina,-,-,venenoso,-,35,4,3,4,3,6,-,55,4,10,7,7
