id,gen,name,form,type_1,type_2,hp,atk,def,sp_atk,sp_def,spd,pml,bst_rpg
1,1,bulbasaur,,grass,poison,34,2,2,3,3,5,,49
2,1,ivysaur,,grass,poison,45,3,3,4,4,6,,65
3,1,venusaur,,grass,poison,60,4,4,5,5,8,,86
3,6,venusaur,mega venusaur,grass,poison,60,5,6,6,6,8,,91
4,1,charmander,,fire,,29,3,2,3,3,7,,47
5,1,charmeleon,,fire,,44,3,3,4,3,8,,65
6,1,charizard,,fire,flying,59,4,4,5,4,10,,86
6,6,charizard,mega charizard x,fire,dragon,59,7,6,7,4,10,,93
6,6,charizard,mega charizard y,fire,flying,59,5,4,8,6,10,,92
7,1,squirtle,,water,,33,2,3,3,3,4,,48
8,1,wartortle,,water,,44,3,4,3,4,6,,64
9,1,blastoise,,water,,59,4,5,4,5,8,,85
9,6,blastoise,mega blastoise,water,,59,5,6,7,6,8,,91
10,1,caterpie,,bug,,34,2,2,1,1,5,,45
11,1,metapod,,bug,,38,1,3,1,1,3,,47
12,1,butterfree,,bug,flying,45,2,3,5,4,7,,66
13,1,weedle,,bug,poison,30,2,2,1,1,5,,41
14,1,kakuna,,bug,poison,34,1,3,1,1,4,,44
15,1,beedrill,,bug,poison,49,5,2,2,4,8,,70
15,6,beedrill,mega beedrill,bug,poison,49,8,2,1,4,15,,79
16,1,pidgey,,normal,flying,30,2,2,2,2,6,,44
17,1,pidgeotto,,normal,flying,47,3,3,3,3,7,,66
18,1,pidgeot,,normal,flying,62,4,4,4,4,10,,88
18,6,pidgeot,mega pidgeot,normal,flying,62,4,4,7,4,12,,93
19,1,rattata,,normal,,23,3,2,1,2,7,,38
19,7,rattata,alolan rattata,dark,normal,23,3,2,1,2,7,,38
20,1,raticate,,normal,,41,4,3,3,4,10,,65
20,7,raticate,alolan raticate,dark,normal,56,4,4,2,4,8,,78
21,1,spearow,,normal,flying,30,3,2,2,2,7,,46
22,1,fearow,,normal,flying,49,5,3,3,3,10,,73
23,1,ekans,,poison,,26,3,2,2,3,6,,42
24,1,arbok,,poison,,45,5,3,3,4,8,,68
25,1,pikachu,,electric,,26,3,2,3,3,9,,46
25,7,pikachu,partner pikachu,electric,,34,4,3,4,3,12,,60
26,1,raichu,,electric,,45,5,3,5,4,11,,73
26,7,raichu,alolan raichu,electric,psychic,45,4,3,5,4,11,,72
27,1,sandshrew,,ground,,38,4,4,1,2,4,,53
27,7,sandshrew,alolan sandshrew,ice,steel,38,4,5,1,2,4,,54
28,1,sandslash,,ground,,56,5,6,2,3,7,,79
28,7,sandslash,alolan sandslash,ice,steel,56,5,6,1,3,7,,78
29,1,nidoran,female,poison,,41,2,3,2,2,4,,54
30,1,nidorina,,poison,,53,3,3,3,3,6,,71
31,1,nidoqueen,,poison,ground,68,5,4,4,4,8,,93
32,1,nidoran,male,poison,,35,3,2,2,2,5,,49
33,1,nidorino,,poison,,46,4,3,3,3,7,,66
34,1,nidoking,,poison,ground,61,5,4,4,4,9,,87
35,1,clefairy,,fairy,,53,2,2,3,3,4,,67
36,1,clefable,,fairy,,71,4,4,5,5,6,,95
37,1,vulpix,,fire,,29,2,2,3,3,7,,46
37,7,vulpix,alolan vulpix,ice,,29,2,2,3,3,7,,46
38,1,ninetales,,fire,,55,4,4,4,5,10,,82
38,7,ninetales,alolan ninetales,ice,fairy,55,3,4,4,5,11,,82
39,1,jigglypuff,,normal,fairy,86,2,1,2,1,2,,94
40,1,wigglytuff,,normal,fairy,105,4,2,4,3,5,,123
41,1,zubat,,poison,flying,30,2,2,2,2,6,,44
42,1,golbat,,poison,flying,56,4,4,3,4,9,,80
43,1,oddish,,grass,poison,34,3,3,4,3,3,,50
44,1,gloom,,grass,poison,45,3,4,4,4,4,,64
45,1,vileplume,,grass,poison,56,4,4,6,5,5,,80
46,1,paras,,bug,grass,26,4,3,2,3,3,,41
47,1,parasect,,bug,grass,45,5,4,3,4,3,,64
48,1,venonat,,bug,poison,45,3,3,2,3,5,,61
49,1,venomoth,,bug,poison,53,3,3,5,4,9,,77
50,1,diglett,,ground,,8,3,1,2,2,10,,26
50,7,diglett,alolan diglett,ground,steel,8,3,2,2,2,9,,26
51,1,dugtrio,,ground,,26,5,3,3,4,12,,53
51,7,dugtrio,alolan dugtrio,ground,steel,26,5,3,3,4,11,,52
52,1,meowth,,normal,,30,2,2,2,2,9,,47
52,7,meowth,alolan meowth,dark,,30,2,2,3,2,9,,48
52,8,meowth,galarian meowth,steel,,38,3,3,2,2,4,,52
53,1,persian,,normal,,49,4,3,3,3,12,,74
53,7,persian,alolan persian,dark,,49,3,3,4,3,12,,74
54,1,psyduck,,water,,38,3,2,3,3,6,,55
55,1,golduck,,water,,60,4,4,5,4,9,,86
56,1,mankey,,fighting,,30,4,2,2,2,7,,47
57,1,primeape,,fighting,,49,5,3,3,4,10,,74
58,1,growlithe,,fire,,41,4,2,4,3,6,,60
58,8,growlithe,hisuian growlithe,fire,rock,45,4,2,3,3,6,,63
59,1,arcanine,,fire,,68,6,4,5,4,10,,97
59,8,arcanine,hisuian arcanine,fire,rock,71,6,4,5,4,9,,99
60,1,poliwag,,water,,30,3,2,2,2,9,,48
61,1,poliwhirl,,water,,49,3,3,3,3,9,,70
62,1,poliwrath,,water,fighting,68,5,5,4,5,7,,94
63,1,abra,,psychic,,19,1,1,5,3,9,,38
64,1,kadabra,,psychic,,30,2,2,6,4,11,,55
65,1,alakazam,,psychic,,41,3,2,7,5,12,,70
65,6,alakazam,mega alakazam,psychic,,41,3,3,9,5,15,,76
66,1,machop,,fighting,,53,4,3,2,2,4,,68
67,1,machoke,,fighting,,60,5,4,3,3,5,,80
68,1,machamp,,fighting,,68,7,4,3,4,6,,92
69,1,bellsprout,,grass,poison,38,4,2,4,2,4,,54
70,1,weepinbell,,grass,poison,49,5,3,4,2,6,,69
71,1,victreebel,,grass,poison,60,5,3,5,4,7,,84
72,1,tentacool,,water,poison,30,2,2,3,5,7,,49
73,1,tentacruel,,water,poison,60,4,3,4,6,10,,87
74,1,geodude,,rock,ground,30,4,5,2,2,2,,45
74,7,geodude,alolan geodude,rock,electric,30,4,5,2,2,2,,45
75,1,graveler,,rock,ground,41,5,6,2,2,4,,60
75,7,graveler,alolan graveler,rock,electric,41,5,6,2,2,4,,60
76,1,golem,,rock,ground,60,6,7,3,3,5,,84
76,7,golem,alolan golem,rock,electric,60,6,7,3,3,5,,84
77,1,ponyta,,fire,,38,4,3,3,3,9,,60
77,8,ponyta,galarian ponyta,psychic,,38,4,3,3,3,9,,60
78,1,rapidash,,fire,,49,5,4,4,4,11,,77
78,8,rapidash,galarian rapidash,psychic,fairy,49,5,4,4,4,11,,77
79,1,slowpoke,,water,psychic,68,3,3,2,2,2,,80
79,8,slowpoke,galarian slowpoke,psychic,,68,3,3,2,2,2,,80
80,1,slowbro,,water,psychic,71,4,6,5,4,3,,93
80,6,slowbro,mega slowbro,water,psychic,71,4,9,7,4,3,,98
80,8,slowbro,galarian slowbro,poison,psychic,71,5,5,5,4,3,,93
81,1,magnemite,,electric,steel,19,2,4,5,3,5,,38
82,1,magneton,,electric,steel,38,3,5,6,4,7,,63
83,1,farfetch'd,,normal,flying,39,5,3,3,3,6,,59
83,8,farfetch'd,galarian farfetch'd,fighting,,39,5,3,3,3,6,,59
84,1,doduo,,normal,flying,26,4,2,2,2,8,,44
85,1,dodrio,,normal,flying,45,6,4,3,3,11,,72
86,1,seel,,water,,49,2,3,2,4,5,,65
87,1,dewgong,,water,ice,68,4,4,4,5,7,,92
88,1,grimer,,poison,,60,4,3,2,3,3,,75
88,7,grimer,alolan grimer,poison,dark,60,4,3,2,3,3,,75
89,1,muk,,poison,,79,5,4,3,5,5,,101
89,7,muk,alolan muk,poison,dark,79,5,4,3,5,5,,101
90,1,shellder,,water,,23,3,5,2,1,4,,38
91,1,cloyster,,water,ice,38,5,9,4,2,7,,65
92,1,gastly,,ghost,poison,23,2,2,5,2,8,,42
93,1,haunter,,ghost,poison,34,3,2,6,3,10,,58
94,1,gengar,,ghost,poison,45,3,3,7,4,11,,73
94,6,gengar,mega gengar,ghost,poison,45,3,4,9,5,13,,79
95,1,onix,,rock,ground,26,2,8,2,2,7,,47
96,1,drowzee,,psychic,,45,2,2,2,5,4,,60
97,1,hypno,,psychic,,64,4,4,4,6,7,,89
98,1,krabby,,water,,23,5,5,1,1,5,,40
99,1,kingler,,water,,41,7,6,3,3,8,,68
100,1,voltorb,,electric,,30,2,3,3,3,10,,51
100,8,voltorb,hisuian voltorb,electric,grass,30,2,3,3,3,10,,51
101,1,electrode,,electric,,45,3,4,4,4,15,,75
101,8,electrode,hisuian electrode,electric,grass,45,3,4,4,4,15,,75
102,1,exeggcute,,grass,psychic,45,2,4,3,2,4,,60
103,1,exeggutor,,grass,psychic,71,5,4,6,4,6,,96
103,7,exeggutor,alolan exeggutor,grass,dragon,71,5,4,6,4,5,,95
104,1,cubone,,ground,,38,3,5,2,3,4,,55
105,1,marowak,,ground,,45,4,6,3,4,5,,67
105,7,marowak,alolan marowak,fire,ghost,45,4,6,3,4,5,,67
106,1,hitmonlee,,fighting,,38,6,3,2,6,9,,64
107,1,hitmonchan,,fighting,,38,5,4,2,6,8,,63
108,1,lickitung,,normal,,68,3,4,3,4,3,,85
109,1,koffing,,poison,,30,3,5,3,2,4,,47
110,1,weezing,,poison,,49,5,6,4,4,6,,74
110,8,weezing,galarian weezing,poison,fairy,49,5,6,4,4,6,,74
111,1,rhyhorn,,ground,rock,60,4,5,2,2,3,,76
112,1,rhydon,,ground,rock,79,7,6,2,2,4,,100
113,1,chansey,,normal,,188,0,0,2,5,5,,200
114,1,tangela,,grass,,49,3,6,5,2,6,,71
115,1,kangaskhan,,normal,,79,5,4,2,4,9,,103
115,6,kangaskhan,mega kangaskhan,normal,,79,6,5,3,5,10,,108
116,1,horsea,,water,,23,2,4,4,1,6,,40
117,1,seadra,,water,,41,3,5,5,2,9,,65
118,1,goldeen,,water,,34,3,3,2,3,6,,51
119,1,seaking,,water,,60,5,3,3,4,7,,82
120,1,staryu,,water,,23,2,3,4,3,9,,44
121,1,starmie,,water,psychic,45,4,4,5,4,12,,74
122,1,mr. mime,,psychic,fairy,30,2,3,5,6,9,,55
122,8,mr. mime,galarian mr. mime,ice,psychic,38,3,3,5,5,10,,64
123,1,scyther,,bug,flying,53,6,4,3,4,11,,81
124,1,jynx,,ice,psychic,49,3,2,6,5,10,,75
125,1,electabuzz,,electric,,49,4,3,5,4,11,,76
126,1,magmar,,fire,,49,5,3,5,4,9,,75
127,1,pinsir,,bug,,49,6,5,3,4,9,,76
127,6,pinsir,mega pinsir,bug,flying,49,8,6,3,5,11,,82
128,1,tauros,,normal,,56,5,5,2,4,11,,83
