tipo_1,hp,atk,sp_atk,def,sp_def,vel,bst,best_atk,best_atk_vel,atk_tot,def_tot
aco,36.4,5.0,4.1,6.1,4.3,5.9,61.9,5.4,11.3,9.1,10.4
agua,37.5,4.3,4.2,4.0,4.0,7.1,61.1,4.8,11.9,8.5,8.0
dragao,44.0,5.5,4.8,4.4,4.6,8.8,72.1,6.0,14.8,10.3,9.0
eletrico,33.0,4.1,4.9,3.6,3.9,9.1,58.5,5.1,14.3,8.9,7.5
fada,38.4,3.9,4.3,4.1,4.7,7.1,62.5,4.7,11.8,8.2,8.8
fantasma,33.1,4.0,4.6,4.3,4.3,6.6,56.9,5.2,11.8,8.6,8.6
fogo,36.8,4.6,4.8,3.8,4.0,7.7,61.7,5.3,13.0,9.4,7.8
gelo,38.8,4.4,3.9,4.1,3.9,7.0,62.2,5.1,12.1,8.3,8.0
grama,34.9,4.3,4.2,4.1,3.9,6.5,57.8,4.8,11.3,8.5,8.0
inseto,29.6,4.0,3.1,3.9,3.6,6.5,50.8,4.4,10.9,7.1,7.6
lutador,39.2,5.6,3.1,4.1,3.9,7.9,63.9,5.6,13.5,8.7,8.0
normal,41.0,4.2,3.3,3.5,3.6,7.4,63.1,4.4,11.8,7.5,7.1
pedra,35.2,4.9,3.5,5.2,4.1,6.1,59.1,5.2,11.4,8.4,9.4
psiquico,38.2,4.2,5.4,4.0,4.7,8.3,64.8,5.7,13.9,9.6,8.7
sombrio,38.1,4.7,4.0,4.0,3.9,8.1,62.8,5.0,13.1,8.7,7.9
terra,37.9,5.0,3.3,4.7,3.7,6.7,61.3,5.1,11.9,8.3,8.4
venenoso,39.4,4.3,3.9,4.2,4.1,7.0,62.9,4.7,11.7,8.2,8.3
voador,36.5,4.6,4.1,3.7,3.9,9.2,62.0,5.0,14.2,8.7,7.6
