tipo_1,hp,atk,sp_atk,def,sp_def,vel,bst,best_atk,best_atk_vel,atk_tot,def_tot
aco,35.2,5.0,3.6,6.1,3.9,5.5,59.2,5.2,10.7,8.6,10.0
agua,36.8,4.2,4.0,3.9,3.8,6.9,59.6,4.6,11.5,8.2,7.8
dragao,37.7,5.1,4.2,4.1,4.6,8.7,64.5,5.9,14.6,9.3,8.7
eletrico,31.8,3.9,4.7,3.6,3.8,8.6,56.3,5.0,13.6,8.6,7.4
fada,36.6,3.6,4.2,3.9,4.6,6.4,59.4,4.5,10.9,7.8,8.6
fantasma,31.2,4.0,4.5,4.2,4.3,6.5,54.7,5.2,11.7,8.5,8.5
fogo,35.9,4.6,4.6,3.7,3.9,7.7,60.3,5.2,12.9,9.2,7.5
gelo,38.7,4.4,3.9,4.1,3.7,7.0,61.7,5.1,12.1,8.2,7.8
grama,34.4,4.3,4.1,4.0,3.9,6.4,57.1,4.8,11.1,8.4,7.9
inseto,29.5,4.0,3.1,3.9,3.6,6.5,50.6,4.4,10.9,7.1,7.5
lutador,37.9,5.4,2.9,3.9,3.7,7.3,61.1,5.4,12.7,8.3,7.7
normal,40.7,4.1,3.3,3.4,3.6,7.3,62.4,4.4,11.6,7.4,7.0
pedra,34.9,4.7,3.4,5.1,4.0,6.0,58.0,5.1,11.1,8.0,9.1
psiquico,34.0,3.2,4.8,3.4,4.3,7.1,56.7,5.0,12.1,8.0,7.7
sombrio,36.1,4.6,3.7,3.8,3.7,8.0,59.8,4.8,12.8,8.3,7.4
terra,37.0,4.8,3.0,4.6,3.7,6.4,59.4,4.9,11.3,7.7,8.2
venenoso,36.8,4.3,3.7,4.0,3.9,6.8,59.5,4.5,11.3,8.0,7.9
voador,35.6,4.4,3.5,3.6,3.8,8.4,59.2,4.6,13.0,7.9,7.4
