cor_raca;genero;idade;uf;nota_media;nota_redacao;total_acertos
Branca;F;25;TO;475,34;460,0;49
Branca;F;22;MG;639,36;860,0;77
Preta;M;37;MT;649,6200000000001;800,0;89
Parda;F;22;BA;534,98;600,0;56
Branca;M;17;SP;495,0400000000001;400,0;60
Amarela;M;19;RN;449,3;500,0;42
Branca;F;23;PR;400,62;300,0;39
Branca;F;21;CE;390,5;240,0;35
Parda;M;19;BA;467,96;520,0;50
Parda;F;19;MA;440,04;560,0;34
Parda;F;27;BA;539,26;660,0;66
Branca;F;25;DF;570,28;380,0;94
Parda;M;21;BA;525,5400000000002;500,0;71
Parda;M;27;MG;473,0799999999999;600,0;43
Branca;F;17;PR;722,5799999999998;900,0;116
Parda;M;19;AP;507,22;520,0;49
Branca;F;18;RS;477,44;580,0;44
Preta;F;17;SP;498,7600000000001;660,0;47
Branca;F;22;MG;595,64;540,0;91
Preta;M;17;BA;614,3399999999998;620,0;92
Branca;F;44;PR;567,04;660,0;62
Amarela;F;23;MG;524,1800000000002;580,0;55
Preta;F;22;SP;439,28;300,0;48
Preta;F;22;BA;525,36;640,0;58
Branca;M;22;PE;554,78;640,0;66
Parda;M;19;BA;370,8;0,0;45
Branca;F;17;PB;694,38;860,0;107
Branca;M;50;PE;468,54;460,0;44
Parda;M;21;BA;555,64;620,0;63
Parda;M;18;PB;422,28;480,0;36
Parda;F;17;AM;369,18;260,0;30
Parda;M;17;DF;478,5;560,0;40
Parda;F;31;RS;525,36;520,0;61
Parda;F;41;RJ;440,3;380,0;45
Parda;M;23;TO;423,48;500,0;38
Parda;F;25;RN;441,7;440,0;44
Branca;F;19;SP;580,22;620,0;75
Preta;F;21;PA;536,72;740,0;60
Parda;M;20;MG;656,78;840,0;81
Parda;M;48;CE;485,6;440,0;50
Branca;F;24;SP;566,2;760,0;70
Parda;F;19;PE;628,4399999999998;820,0;83
Parda;M;22;RJ;584,4;600,0;82
Parda;F;20;SP;539,4399999999998;700,0;59
Branca;F;19;RS;515,56;520,0;58
Preta;F;22;RJ;456,74;480,0;46
Preta;F;25;DF;536,2;660,0;64
Parda;F;21;MA;531,86;480,0;65
Branca;F;40;GO;478,5799999999999;580,0;43
Parda;M;24;PI;448,24;460,0;45
Branca;F;17;PI;616,58;820,0;80
Branca;M;36;RS;627,8199999999998;720,0;91
Parda;M;31;BA;407,62;340,0;42
Branca;M;53;RJ;506,98;520,0;66
Branca;F;19;SP;641,1800000000002;720,0;99
Parda;M;27;GO;434,96;420,0;44
Preta;F;17;PA;631,98;880,0;78
Preta;M;19;SE;549,62;800,0;52
Parda;M;39;SE;578,12;600,0;84
Parda;M;19;BA;443,24;560,0;35
Parda;F;20;PE;489,4;560,0;53
Branca;F;18;MG;545,3199999999998;740,0;51
Parda;F;24;PB;562,3;660,0;72
Parda;M;23;MG;521,6600000000002;580,0;59
Parda;F;17;PI;598,8199999999998;800,0;67
Parda;F;21;PA;493,24;560,0;59
Branca;M;18;SP;582,76;540,0;86
Parda;M;18;PR;564,0600000000002;640,0;64
Branca;F;19;SP;462,12;560,0;39
Parda;F;20;BA;494,72;680,0;41
Branca;F;17;SP;504,1;620,0;50
Parda;M;27;PR;661,6;660,0;117
Branca;F;24;RS;554,6800000000002;680,0;69
Parda;F;25;PA;489,4;520,0;52
Parda;F;17;GO;509,02;600,0;58
Amarela;M;19;PB;520,72;580,0;58
Branca;F;24;GO;510,84;600,0;55
Parda;M;36;AM;460,32;520,0;40
Branca;F;17;MG;679,1800000000002;800,0;109
Branca;F;19;MS;468,42;640,0;35
